Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,GreinerBio one cell culture plate,,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.4 mm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,,
GreinerBio one cell culture plate,,,,,,,,,,,,,,,,,,,,,,,,,
12.13 mm x------------------------------------------------------ x 115 mm,,,,,,,,,,,,,,,,,,,,,,,,,
8.99 mm                                                            9 mm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12 mm x--------------------------------------------------------- x 115 mm,,,,,,,,,,,,,,,,,,,,,,,,,
76 mm                                                              76 mm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
M,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
N,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
O,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
P,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,,,,,,,,,,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,,,,,,,,,,,,,,
 Formula name,,,,Crosstalk,,,,,,,,,,,,,,,,,,,,,
 Formula,,,,Crosstalk where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,,,,,,,,,,
      Label,,,,US LUM 384 Bei(1),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,,,,,,,,,,
US LUM 384 Bei,,,,7000008,,,,,,,,,,,,,,,,,,,,,
Measurement height,,,,0 mm,,,,,,,,,,,,,,,,,,,,,
Measurement time,,,,1 s,,,,,,,,,,,,,,,,,,,,,
CT,,,,0,,,,,,,,,,,,,,,,,,,,,
Aperture,,,,384 Plate US Luminescence aperture,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,17-02-17 14:19:16,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,EnVision,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,No,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aperture:,,,,,,,,,,,,,,,,,,,,,,,,,
384 Plate US Luminescence aperture,,,,9,,,,,,,,,,,,,,,,,,,,,
Height,,,,4.2 mm,,,,,,,,,,,,,,,,,,,,,
Diameter,,,,3.7 mm,,,,,,,,,,,,,,,,,,,,,
Description,,,,Can also be used in 96 plate,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26-02-19 14:51:38,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,,,,1040204,,,,,,,,,,,,,,,,,,,,,
Nickname,,,,EnVision,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Normalization:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Exported with EnVision Workstation version 1.14.3049.528,,,,,,,,,,,,,,,,,,,,,,,,,
