Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
A,8,211992,206636,211316,212116,215828,214572,226020,206476,220764,243808,226712,208516,204444,76,210436,64,214556,64,206844,188,205884,172,8,
B,16,250528,232828,229732,237308,231948,245960,242368,209484,242080,204692,225848,207924,238416,221412,227176,189612,233504,220168,214040,196904,240808,219176,16,
C,12,228612,223204,242256,239452,214748,235676,217684,212056,221300,244708,213948,238052,224936,240588,206640,224240,218564,241312,234160,221716,241288,231748,12,
D,8,226276,161208,233088,220492,243592,230004,240108,249976,245788,225200,241680,230708,214916,233544,279512,212188,233636,235444,241160,245832,249928,214360,12,
E,32,259016,223952,229148,242936,222240,247384,221016,234972,227720,244268,212480,236032,215036,230076,228232,225176,204972,227568,230300,216776,233216,227460,12,
F,20,262316,227260,237180,221416,237260,232560,253676,237736,242364,212740,230316,226780,222532,242080,272516,202884,223828,226736,233916,221196,229108,244308,8,
G,16,251252,239180,243800,260396,204484,234124,203812,262784,202068,216692,213904,239052,208188,239284,207196,233144,217032,248276,232648,236396,218784,232084,16,
H,16,257180,256824,275096,199848,240288,215532,239908,217572,241488,222664,228844,225984,225404,220520,233744,223272,222144,210676,245196,210932,205872,211980,12,
I,16,240220,234700,235840,257604,215464,242928,227620,236044,203088,215508,210308,232380,211732,241480,218812,252072,233052,213584,234776,229348,217096,233772,8,
J,16,228140,238112,258824,259156,233504,262848,247548,233060,237852,234576,228552,232788,211128,249072,234980,221176,257296,197180,213468,240392,206812,269808,12,
K,20,239824,237052,244712,245328,225116,236312,219212,228820,208140,242580,209020,227240,219936,247748,210872,232884,227320,216072,235540,218116,217696,241532,20,
L,12,265796,227620,245852,226140,249356,236028,256688,247692,219936,227484,228616,234924,239828,223424,242536,242112,219204,261180,218404,226548,239644,213464,20,
M,16,262080,243980,239400,242044,211824,240840,220024,240108,218948,240116,208448,248948,220312,242396,231036,225476,214404,223496,232096,247952,236016,252496,12,
N,12,243440,244860,232488,217824,221976,230800,238172,221832,230232,192564,240244,222776,234332,231024,260776,247288,238048,217292,214996,220372,212724,232372,12,
O,16,263008,263884,257200,283340,241568,269204,258712,279772,238728,247832,219288,280512,234752,246596,239388,247808,230712,251520,246756,234036,237900,277872,8,
P,16,76,250768,84,236152,112,270768,76,238952,56,246916,235356,243644,254548,232384,247592,238324,231664,228236,234760,221428,237960,235120,80,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,18316,,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,07-12-21 13:04:23,,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,07-12-21 13:11:48,,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,07-12-21 13:11:48,,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,384_Luminescence_1s,,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1040204,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,384_Luminescence_1s,,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,GreinerBio one cell culture plate,,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.4 mm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,,
GreinerBio one cell culture plate,,,,,,,,,,,,,,,,,,,,,,,,,
12.13 mm x------------------------------------------------------ x 115 mm,,,,,,,,,,,,,,,,,,,,,,,,,
8.99 mm                                                            9 mm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12 mm x--------------------------------------------------------- x 115 mm,,,,,,,,,,,,,,,,,,,,,,,,,
76 mm                                                              76 mm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
M,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
N,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
O,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
P,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,,,,,,,,,,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,,,,,,,,,,,,,,
 Formula name,,,,Crosstalk,,,,,,,,,,,,,,,,,,,,,
 Formula,,,,Crosstalk where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,,,,,,,,,,
      Label,,,,US LUM 384 Bei(1),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,,,,,,,,,,
US LUM 384 Bei,,,,7000008,,,,,,,,,,,,,,,,,,,,,
Measurement height,,,,0 mm,,,,,,,,,,,,,,,,,,,,,
Measurement time,,,,1 s,,,,,,,,,,,,,,,,,,,,,
CT,,,,0,,,,,,,,,,,,,,,,,,,,,
Aperture,,,,384 Plate US Luminescence aperture,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,17-02-17 14:19:16,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,EnVision,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,No,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aperture:,,,,,,,,,,,,,,,,,,,,,,,,,
384 Plate US Luminescence aperture,,,,9,,,,,,,,,,,,,,,,,,,,,
Height,,,,4.2 mm,,,,,,,,,,,,,,,,,,,,,
Diameter,,,,3.7 mm,,,,,,,,,,,,,,,,,,,,,
Description,,,,Can also be used in 96 plate,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26-02-19 14:51:38,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,,,,1040204,,,,,,,,,,,,,,,,,,,,,
Nickname,,,,EnVision,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Normalization:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Exported with EnVision Workstation version 1.14.3049.528,,,,,,,,,,,,,,,,,,,,,,,,,
